[STRESS][x50] Validando estructura...
[STRESS][x50] Estructura valida.
[STRESS][x50] Secciones: 50
[STRESS][x50] Grupos: 250
[STRESS][x50] Docentes: 400
[STRESS][x50] Asignaciones: 2500
[STRESS][x50] Bloques requeridos: 8750
[STRESS][x50] Construyendo modelo CP-SAT...
[STRESS][x50] Modelo construido.
[STRESS][x50] Iniciando solver...
[STRESS][x50] Modo de tiempo: unlimited
[STRESS][x50] Workers: 8
[STRESS][x50][RUNNING] elapsed=2827s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2857s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2887s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2917s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2947s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2977s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3007s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3038s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3068s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3098s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3128s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3158s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3188s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3218s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3248s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3278s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3308s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3338s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3368s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3398s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3428s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3458s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3488s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3518s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3548s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3578s | required_blocks=8750 | status=solving | solutions_found=0
