instance_type,scenario,run_id,seed,algorithm,required_blocks,assigned_blocks,coverage_rate,unassigned_blocks,status,runtime_seconds,teacher_conflicts,group_conflicts,availability_violations,workload_violations,solver_conflicts,solver_branches,workers,time_limit_seconds,instance_hash_sha256,observation
synthetic,x5,2,2,CP-SAT,875,875,1.0,0,OPTIMAL,61.181247,0,0,0,0,214393,1632545,8,,8181f1d3ecca8be042636c9370e8e703f5241aa0e88512f5b5fe5c6043ce0bc1,CP-SAT random_seed=2; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x5_run2_cpsat.log
synthetic,x5,2,2,Greedy,875,875,1.0,0,COMPLETE,0.3346412,0,0,0,0,,,8,,8181f1d3ecca8be042636c9370e8e703f5241aa0e88512f5b5fe5c6043ce0bc1,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x5,3,3,CP-SAT,875,875,1.0,0,OPTIMAL,20.367605,0,0,0,0,77035,551301,8,,8181f1d3ecca8be042636c9370e8e703f5241aa0e88512f5b5fe5c6043ce0bc1,CP-SAT random_seed=3; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x5_run3_cpsat.log
synthetic,x5,3,3,Greedy,875,875,1.0,0,COMPLETE,0.3488881,0,0,0,0,,,8,,8181f1d3ecca8be042636c9370e8e703f5241aa0e88512f5b5fe5c6043ce0bc1,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x5,4,4,CP-SAT,875,875,1.0,0,OPTIMAL,30.401102,0,0,0,0,130131,793428,8,,8181f1d3ecca8be042636c9370e8e703f5241aa0e88512f5b5fe5c6043ce0bc1,CP-SAT random_seed=4; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x5_run4_cpsat.log
synthetic,x5,4,4,Greedy,875,875,1.0,0,COMPLETE,0.3446582,0,0,0,0,,,8,,8181f1d3ecca8be042636c9370e8e703f5241aa0e88512f5b5fe5c6043ce0bc1,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x5,5,5,CP-SAT,875,875,1.0,0,OPTIMAL,18.264801,0,0,0,0,67166,514945,8,,8181f1d3ecca8be042636c9370e8e703f5241aa0e88512f5b5fe5c6043ce0bc1,CP-SAT random_seed=5; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x5_run5_cpsat.log
synthetic,x5,5,5,Greedy,875,875,1.0,0,COMPLETE,0.3562672,0,0,0,0,,,8,,8181f1d3ecca8be042636c9370e8e703f5241aa0e88512f5b5fe5c6043ce0bc1,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x5,6,6,CP-SAT,875,875,1.0,0,OPTIMAL,62.239766,0,0,0,0,37624,2659355,8,,8181f1d3ecca8be042636c9370e8e703f5241aa0e88512f5b5fe5c6043ce0bc1,CP-SAT random_seed=6; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x5_run6_cpsat.log
synthetic,x5,6,6,Greedy,875,875,1.0,0,COMPLETE,0.3440946,0,0,0,0,,,8,,8181f1d3ecca8be042636c9370e8e703f5241aa0e88512f5b5fe5c6043ce0bc1,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x5,7,7,CP-SAT,875,875,1.0,0,OPTIMAL,22.327857,0,0,0,0,86773,604058,8,,8181f1d3ecca8be042636c9370e8e703f5241aa0e88512f5b5fe5c6043ce0bc1,CP-SAT random_seed=7; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x5_run7_cpsat.log
synthetic,x5,7,7,Greedy,875,875,1.0,0,COMPLETE,0.3531182,0,0,0,0,,,8,,8181f1d3ecca8be042636c9370e8e703f5241aa0e88512f5b5fe5c6043ce0bc1,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x5,8,8,CP-SAT,875,875,1.0,0,OPTIMAL,63.709596,0,0,0,0,193588,1190593,8,,8181f1d3ecca8be042636c9370e8e703f5241aa0e88512f5b5fe5c6043ce0bc1,CP-SAT random_seed=8; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x5_run8_cpsat.log
synthetic,x5,8,8,Greedy,875,875,1.0,0,COMPLETE,0.4356169,0,0,0,0,,,8,,8181f1d3ecca8be042636c9370e8e703f5241aa0e88512f5b5fe5c6043ce0bc1,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x5,9,9,CP-SAT,875,875,1.0,0,OPTIMAL,80.155213,0,0,0,0,41053,2901302,8,,8181f1d3ecca8be042636c9370e8e703f5241aa0e88512f5b5fe5c6043ce0bc1,CP-SAT random_seed=9; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x5_run9_cpsat.log
synthetic,x5,9,9,Greedy,875,875,1.0,0,COMPLETE,0.5289957,0,0,0,0,,,8,,8181f1d3ecca8be042636c9370e8e703f5241aa0e88512f5b5fe5c6043ce0bc1,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x5,10,10,CP-SAT,875,875,1.0,0,OPTIMAL,23.331139,0,0,0,0,88734,560079,8,,8181f1d3ecca8be042636c9370e8e703f5241aa0e88512f5b5fe5c6043ce0bc1,CP-SAT random_seed=10; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x5_run10_cpsat.log
synthetic,x5,10,10,Greedy,875,875,1.0,0,COMPLETE,0.3587082,0,0,0,0,,,8,,8181f1d3ecca8be042636c9370e8e703f5241aa0e88512f5b5fe5c6043ce0bc1,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x10,1,1,CP-SAT,1750,1750,1.0,0,OPTIMAL,107.754286,0,0,0,0,428813,2900436,8,,915bb297897451baeef4eb5b33fcb8cf31be3201416ab28d4a5ee17145c083f5,CP-SAT random_seed=1; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x10_run1_cpsat.log
synthetic,x10,1,1,Greedy,1750,1750,1.0,0,COMPLETE,0.6770889,0,0,0,0,,,8,,915bb297897451baeef4eb5b33fcb8cf31be3201416ab28d4a5ee17145c083f5,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x10,2,2,CP-SAT,1750,1750,1.0,0,OPTIMAL,363.652747,0,0,0,0,119432,14528961,8,,915bb297897451baeef4eb5b33fcb8cf31be3201416ab28d4a5ee17145c083f5,CP-SAT random_seed=2; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x10_run2_cpsat.log
synthetic,x10,2,2,Greedy,1750,1750,1.0,0,COMPLETE,0.7150681,0,0,0,0,,,8,,915bb297897451baeef4eb5b33fcb8cf31be3201416ab28d4a5ee17145c083f5,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x10,3,3,CP-SAT,1750,1750,1.0,0,OPTIMAL,170.467676,0,0,0,0,544771,4964168,8,,915bb297897451baeef4eb5b33fcb8cf31be3201416ab28d4a5ee17145c083f5,CP-SAT random_seed=3; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x10_run3_cpsat.log
synthetic,x10,3,3,Greedy,1750,1750,1.0,0,COMPLETE,0.680085,0,0,0,0,,,8,,915bb297897451baeef4eb5b33fcb8cf31be3201416ab28d4a5ee17145c083f5,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x10,4,4,CP-SAT,1750,1750,1.0,0,OPTIMAL,178.575444,0,0,0,0,715590,4044393,8,,915bb297897451baeef4eb5b33fcb8cf31be3201416ab28d4a5ee17145c083f5,CP-SAT random_seed=4; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x10_run4_cpsat.log
synthetic,x10,4,4,Greedy,1750,1750,1.0,0,COMPLETE,0.7568982,0,0,0,0,,,8,,915bb297897451baeef4eb5b33fcb8cf31be3201416ab28d4a5ee17145c083f5,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x10,5,5,CP-SAT,1750,1750,1.0,0,OPTIMAL,423.329205,0,0,0,0,1940071,9315859,8,,915bb297897451baeef4eb5b33fcb8cf31be3201416ab28d4a5ee17145c083f5,CP-SAT random_seed=5; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x10_run5_cpsat.log
synthetic,x10,5,5,Greedy,1750,1750,1.0,0,COMPLETE,0.6843861,0,0,0,0,,,8,,915bb297897451baeef4eb5b33fcb8cf31be3201416ab28d4a5ee17145c083f5,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x10,6,6,CP-SAT,1750,1750,1.0,0,OPTIMAL,131.612079,0,0,0,0,543818,2987270,8,,915bb297897451baeef4eb5b33fcb8cf31be3201416ab28d4a5ee17145c083f5,CP-SAT random_seed=6; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x10_run6_cpsat.log
synthetic,x10,6,6,Greedy,1750,1750,1.0,0,COMPLETE,0.7186814,0,0,0,0,,,8,,915bb297897451baeef4eb5b33fcb8cf31be3201416ab28d4a5ee17145c083f5,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x10,7,7,CP-SAT,1750,1750,1.0,0,OPTIMAL,133.77222,0,0,0,0,457682,3799905,8,,915bb297897451baeef4eb5b33fcb8cf31be3201416ab28d4a5ee17145c083f5,CP-SAT random_seed=7; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x10_run7_cpsat.log
synthetic,x10,7,7,Greedy,1750,1750,1.0,0,COMPLETE,0.6906278,0,0,0,0,,,8,,915bb297897451baeef4eb5b33fcb8cf31be3201416ab28d4a5ee17145c083f5,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x10,8,8,CP-SAT,1750,1750,1.0,0,OPTIMAL,398.151299,0,0,0,0,1684084,8717565,8,,915bb297897451baeef4eb5b33fcb8cf31be3201416ab28d4a5ee17145c083f5,CP-SAT random_seed=8; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x10_run8_cpsat.log
synthetic,x10,8,8,Greedy,1750,1750,1.0,0,COMPLETE,0.6891971,0,0,0,0,,,8,,915bb297897451baeef4eb5b33fcb8cf31be3201416ab28d4a5ee17145c083f5,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x10,9,9,CP-SAT,1750,1750,1.0,0,OPTIMAL,177.266226,0,0,0,0,593243,5209113,8,,915bb297897451baeef4eb5b33fcb8cf31be3201416ab28d4a5ee17145c083f5,CP-SAT random_seed=9; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x10_run9_cpsat.log
synthetic,x10,9,9,Greedy,1750,1750,1.0,0,COMPLETE,0.6638333,0,0,0,0,,,8,,915bb297897451baeef4eb5b33fcb8cf31be3201416ab28d4a5ee17145c083f5,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x10,10,10,CP-SAT,1750,1750,1.0,0,OPTIMAL,411.335722,0,0,0,0,139413,16619992,8,,915bb297897451baeef4eb5b33fcb8cf31be3201416ab28d4a5ee17145c083f5,CP-SAT random_seed=10; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x10_run10_cpsat.log
synthetic,x10,10,10,Greedy,1750,1750,1.0,0,COMPLETE,0.7051139,0,0,0,0,,,8,,915bb297897451baeef4eb5b33fcb8cf31be3201416ab28d4a5ee17145c083f5,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
web-real,web-real,1,1,CP-SAT,175,175,1.0,0,OPTIMAL,2.42902,0,0,0,0,10242,52400,8,,8db7674e306ef20d3fe9021a30efc870d3357e407eec78be806c5dac6ce91e39,CP-SAT random_seed=1; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\web-real_run1_cpsat.log
